规则名称,关联需求,启用,所属国家平台,所属模板,规则排序,规则类型,说明,输入字段,输出字段
销售佣金费率,计算配置改为规则级 DAG 流程 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E9%9C%80%E6%B1%82%E6%B1%A0/%E8%AE%A1%E7%AE%97%E9%85%8D%E7%BD%AE%E6%94%B9%E4%B8%BA%E8%A7%84%E5%88%99%E7%BA%A7%20DAG%20%E6%B5%81%E7%A8%8B%20c0860d83515d4b6d90ac16e5aa69cab0.md),Yes,巴西_美客多,销售佣金模板,10,查表,,"商品类目 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%95%86%E5%93%81%E7%B1%BB%E7%9B%AE%205d62e4a86486403ebeaeed75cc5032a1.md), 广告类型 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%B9%BF%E5%91%8A%E7%B1%BB%E5%9E%8B%20ae73acc6ae9b40849ef044417e0fdc75.md)",销售佣金费率 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E9%94%80%E5%94%AE%E4%BD%A3%E9%87%91%E8%B4%B9%E7%8E%87%20878ce9a62ea54876ac33f9ac60f0bef0.md)
总费用,计算配置改为规则级 DAG 流程 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E9%9C%80%E6%B1%82%E6%B1%A0/%E8%AE%A1%E7%AE%97%E9%85%8D%E7%BD%AE%E6%94%B9%E4%B8%BA%E8%A7%84%E5%88%99%E7%BA%A7%20DAG%20%E6%B5%81%E7%A8%8B%20c0860d83515d4b6d90ac16e5aa69cab0.md),Yes,巴西_美客多,销售佣金模板,50,计算,,"销售佣金金额 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E9%94%80%E5%94%AE%E4%BD%A3%E9%87%91%E9%87%91%E9%A2%9D%20faa00386984d41558f3ff4dc9fe2b877.md), 运费 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E8%BF%90%E8%B4%B9%2065e7e4fb356a4ea0a3f8653a31dc4292.md), 支付手续费 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E6%94%AF%E4%BB%98%E6%89%8B%E7%BB%AD%E8%B4%B9%209fcb679b2a0145c4b821c8b14bc351e8.md)",总费用 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E6%80%BB%E8%B4%B9%E7%94%A8%20cae9f4b4d87a4f0bac5ce982b6188b53.md)
支付手续费,计算配置改为规则级 DAG 流程 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E9%9C%80%E6%B1%82%E6%B1%A0/%E8%AE%A1%E7%AE%97%E9%85%8D%E7%BD%AE%E6%94%B9%E4%B8%BA%E8%A7%84%E5%88%99%E7%BA%A7%20DAG%20%E6%B5%81%E7%A8%8B%20c0860d83515d4b6d90ac16e5aa69cab0.md),Yes,巴西_美客多,销售佣金模板,40,计算,,售价 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%94%AE%E4%BB%B7%2052602ad72fb14e6792e61cbb30afce2a.md),支付手续费 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E6%94%AF%E4%BB%98%E6%89%8B%E7%BB%AD%E8%B4%B9%209fcb679b2a0145c4b821c8b14bc351e8.md)
销售佣金金额,计算配置改为规则级 DAG 流程 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E9%9C%80%E6%B1%82%E6%B1%A0/%E8%AE%A1%E7%AE%97%E9%85%8D%E7%BD%AE%E6%94%B9%E4%B8%BA%E8%A7%84%E5%88%99%E7%BA%A7%20DAG%20%E6%B5%81%E7%A8%8B%20c0860d83515d4b6d90ac16e5aa69cab0.md),Yes,巴西_美客多,销售佣金模板,30,计算,,"售价 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%94%AE%E4%BB%B7%2052602ad72fb14e6792e61cbb30afce2a.md), 销售佣金费率 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E9%94%80%E5%94%AE%E4%BD%A3%E9%87%91%E8%B4%B9%E7%8E%87%20878ce9a62ea54876ac33f9ac60f0bef0.md)",销售佣金金额 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E9%94%80%E5%94%AE%E4%BD%A3%E9%87%91%E9%87%91%E9%A2%9D%20faa00386984d41558f3ff4dc9fe2b877.md)
运费,计算配置改为规则级 DAG 流程 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E9%9C%80%E6%B1%82%E6%B1%A0/%E8%AE%A1%E7%AE%97%E9%85%8D%E7%BD%AE%E6%94%B9%E4%B8%BA%E8%A7%84%E5%88%99%E7%BA%A7%20DAG%20%E6%B5%81%E7%A8%8B%20c0860d83515d4b6d90ac16e5aa69cab0.md),Yes,巴西_美客多,销售佣金模板,20,查表,,"售价 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%94%AE%E4%BB%B7%2052602ad72fb14e6792e61cbb30afce2a.md), 重量 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E9%87%8D%E9%87%8F%208cdfdbf6d2f54f49a405b5dbe2fcc956.md)",运费 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E8%BF%90%E8%B4%B9%2065e7e4fb356a4ea0a3f8653a31dc4292.md)
净利润,计算配置改为规则级 DAG 流程 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E9%9C%80%E6%B1%82%E6%B1%A0/%E8%AE%A1%E7%AE%97%E9%85%8D%E7%BD%AE%E6%94%B9%E4%B8%BA%E8%A7%84%E5%88%99%E7%BA%A7%20DAG%20%E6%B5%81%E7%A8%8B%20c0860d83515d4b6d90ac16e5aa69cab0.md),Yes,巴西_美客多,销售佣金模板,60,计算,,"售价 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%94%AE%E4%BB%B7%2052602ad72fb14e6792e61cbb30afce2a.md), 总费用 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E6%80%BB%E8%B4%B9%E7%94%A8%20cae9f4b4d87a4f0bac5ce982b6188b53.md), 成本价 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E6%88%90%E6%9C%AC%E4%BB%B7%20605a1bc68b814b2f826307796c391f4f.md)",净利润 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%87%80%E5%88%A9%E6%B6%A6%2011fce52eeca24dbe8fde0d17dd0bb0dc.md)
利润率,计算配置改为规则级 DAG 流程 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E9%9C%80%E6%B1%82%E6%B1%A0/%E8%AE%A1%E7%AE%97%E9%85%8D%E7%BD%AE%E6%94%B9%E4%B8%BA%E8%A7%84%E5%88%99%E7%BA%A7%20DAG%20%E6%B5%81%E7%A8%8B%20c0860d83515d4b6d90ac16e5aa69cab0.md),Yes,巴西_美客多,销售佣金模板,70,计算,,"净利润 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%87%80%E5%88%A9%E6%B6%A6%2011fce52eeca24dbe8fde0d17dd0bb0dc.md), 售价 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%94%AE%E4%BB%B7%2052602ad72fb14e6792e61cbb30afce2a.md)",利润率 (Profit%20%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%EF%BC%88%E6%89%8B%E5%8A%A8%E7%89%88%EF%BC%89/%E5%AD%97%E6%AE%B5%E5%BA%93/%E5%88%A9%E6%B6%A6%E7%8E%87%208f400b86b10c477a9fb8ba0d03bf398c.md)
