规则名称,所属模板,所属国家平台,规则排序,启用,规则类型,输入字段,输出字段,说明,关联需求
销售佣金费率,销售佣金模板,巴西_美客多,10,true,查表,"商品类目;广告类型",销售佣金费率,查类目佣金表,计算配置改为规则级 DAG 流程
运费,销售佣金模板,巴西_美客多,20,true,查表,"售价;重量",运费,按售价重量区间查运费,计算配置改为规则级 DAG 流程
销售佣金金额,销售佣金模板,巴西_美客多,30,true,计算,"售价;销售佣金费率",销售佣金金额,售价 × 销售佣金费率,计算节点改为可视化公式构造器
支付手续费,销售佣金模板,巴西_美客多,40,true,计算,售价,支付手续费,售价 × 0.048,计算节点改为可视化公式构造器
总费用,销售佣金模板,巴西_美客多,50,true,计算,"销售佣金金额;运费;支付手续费",总费用,佣金 + 运费 + 手续费,计算节点改为可视化公式构造器
净利润,销售佣金模板,巴西_美客多,60,true,计算,"售价;总费用;成本价",净利润,售价 - 总费用 - 成本价,计算节点改为可视化公式构造器
利润率,销售佣金模板,巴西_美客多,70,true,计算,"净利润;售价",利润率,净利润 ÷ 售价,计算节点改为可视化公式构造器
